GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
10,7.64,5.62,11.17,0.02,0.01,0.0,-0.88,-103.16,7.52,126.32,-25.33,1.89,54.25,-23.44,30.81
11,7.73,6.19,9.61,0.03,0.03,0.0,-0.82,-98.89,8.66,121.04,-25.55,1.91,53.59,-23.64,29.95
12,4.04,12.71,12.45,0.04,0.02,0.0,-0.82,-99.08,8.59,119.26,-25.13,1.9,57.2,-23.23,33.97
13,4.46,10.5,10.79,0.04,0.12,0.0,-0.86,-101.99,8.99,121.55,-24.55,1.9,53.6,-22.66,30.95
14,7.19,10.14,10.76,0.16,0.04,0.0,-1.0,-109.28,9.6,134.33,-24.1,1.87,61.95,-22.23,39.71
15,8.44,4.99,10.54,0.01,0.06,0.0,-0.81,-107.74,6.67,131.42,-23.93,1.9,53.59,-22.03,31.56
16,6.49,7.21,11.1,0.05,0.36,0.0,-0.8,-93.5,9.41,121.77,-31.76,1.88,62.1,-29.87,32.23
17,4.53,6.08,9.53,0.1,0.22,0.0,-0.77,-109.22,9.62,130.39,-24.27,1.88,50.46,-22.39,28.06
18,3.51,7.1,12.96,0.04,0.01,0.0,-0.86,-102.16,8.66,122.79,-24.96,1.9,52.05,-23.06,28.99
19,5.6,7.65,11.24,0.01,0.51,0.0,-0.89,-101.97,9.28,122.25,-23.2,1.88,53.68,-21.32,32.36
20,2.3,3.67,10.85,0.06,0.06,0.0,-0.9,-106.8,8.97,131.08,-24.75,1.88,49.3,-22.86,26.43
21,3.85,8.31,9.28,0.14,0.03,0.0,-0.89,-103.8,9.71,125.46,-24.84,1.89,52.09,-22.95,29.13
22,3.07,3.05,9.42,0.04,0.0,0.0,-0.95,-106.37,9.25,129.49,-24.32,1.88,46.99,-22.45,24.54
23,2.15,7.83,10.66,0.46,0.05,0.0,-0.78,-107.44,9.64,128.54,-23.57,1.88,51.12,-21.69,29.43
24,2.9,7.43,9.85,0.01,0.05,0.0,-0.94,-106.62,9.4,133.69,-27.44,1.88,55.76,-25.56,30.21
