GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
25,0.0,0.0,0.0,-0.0,0.0,0.0,-20.77,-6.1,-0.0,-0.0,23.72,-2.89,-26.87,20.82,-6.05
26,-0.0,0.0,0.0,-0.0,0.0,0.0,-21.22,-16.96,0.0,0.0,29.01,-3.01,-38.18,26.0,-12.18
27,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-19.88,-12.29,0.0,-0.0,23.91,-2.79,-32.17,21.12,-11.05
28,0.0,-0.0,-0.0,-0.0,0.0,0.0,-17.32,-9.83,0.0,0.0,26.36,-2.87,-27.14,23.49,-3.65
29,0.0,0.0,0.0,-0.0,0.0,0.0,-18.26,-13.75,-0.0,-0.0,27.41,-2.84,-32.01,24.57,-7.44
30,0.0,0.0,0.0,-0.0,-0.0,0.0,-19.77,-15.39,0.0,0.0,26.9,-2.99,-35.17,23.91,-11.26
31,-0.0,-0.0,-0.0,0.0,0.0,0.0,-20.48,-15.1,-0.0,-0.0,27.05,-3.0,-35.58,24.05,-11.53
32,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-20.92,-13.82,-0.0,-0.0,28.3,-2.91,-34.74,25.39,-9.35
33,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-18.87,-19.59,-0.0,0.0,31.43,-2.79,-38.46,28.64,-9.82
34,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-19.61,-32.64,-0.0,-0.0,38.17,-2.83,-52.25,35.34,-16.91
35,0.0,0.0,-0.0,-0.0,0.0,0.0,-21.48,-27.58,-0.0,-0.0,36.22,-2.96,-49.06,33.26,-15.81
36,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-19.07,-29.15,0.0,0.0,37.7,-2.97,-48.23,34.73,-13.49
37,-0.0,-0.0,0.0,0.0,-0.0,0.0,-16.01,-20.92,-0.0,0.0,35.93,-2.51,-36.93,33.42,-3.5
38,-0.0,-0.0,0.0,-0.0,0.0,0.0,-16.0,-15.34,-0.0,-0.0,29.36,-2.44,-31.34,26.92,-4.42
39,0.0,-0.0,0.0,-0.0,0.0,0.0,-16.84,-31.25,0.0,0.0,38.99,-2.38,-48.09,36.61,-11.48
40,0.0,0.0,0.0,-0.0,0.0,0.0,-17.09,-32.51,0.0,0.0,38.08,-2.47,-49.6,35.61,-14.0
41,-0.0,0.0,0.0,-0.0,-0.0,0.0,-16.7,-27.02,0.0,0.0,35.73,-2.43,-43.71,33.3,-10.42
42,0.0,0.0,0.0,0.0,0.0,0.0,-17.26,-29.95,0.0,0.0,38.18,-2.38,-47.21,35.8,-11.41
43,0.0,-0.0,-0.0,0.0,-0.0,0.0,-17.47,-25.81,-0.0,0.0,36.16,-2.59,-43.28,33.57,-9.71
44,0.0,-0.0,0.0,0.0,0.0,0.0,-15.79,-31.44,0.0,0.0,39.34,-2.42,-47.22,36.92,-10.3
45,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-16.79,-29.75,-0.0,-0.0,36.41,-2.44,-46.55,33.97,-12.57
46,0.0,-0.0,0.0,0.0,-0.0,0.0,-15.77,-29.01,0.0,0.0,38.2,-2.63,-44.77,35.57,-9.2
47,-0.0,0.0,-0.0,-0.0,0.0,0.0,-14.73,-41.68,-0.0,0.0,51.98,-2.41,-56.4,49.57,-6.83
48,0.0,-0.0,-0.0,0.0,0.0,0.0,-14.61,-34.88,0.0,-0.0,40.84,-2.37,-49.49,38.47,-11.02
49,0.0,0.0,-0.0,-0.0,-0.0,0.0,-17.61,-23.32,-0.0,-0.0,37.68,-2.48,-40.93,35.2,-5.72
50,0.0,-0.0,0.0,0.0,0.0,0.0,-13.09,-28.2,0.0,0.0,35.46,-2.6,-41.3,32.86,-8.44
51,0.0,0.0,-0.0,0.0,-0.0,0.0,-15.88,-15.77,-0.0,0.0,28.46,-2.13,-31.64,26.33,-5.31
52,0.0,0.0,-0.0,0.0,0.0,0.0,-17.8,-25.35,0.0,-0.0,38.43,-2.52,-43.15,35.91,-7.25
53,0.0,0.0,0.0,-0.0,0.0,0.0,-14.95,-25.77,-0.0,0.0,34.0,-2.38,-40.72,31.62,-9.1
54,0.0,0.0,0.0,-0.0,-0.0,0.0,-14.17,-29.39,0.0,-0.0,38.68,-2.5,-43.56,36.18,-7.38
55,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-12.37,-26.21,-0.0,-0.0,34.84,-2.21,-38.58,32.64,-5.94
56,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-13.76,-27.38,-0.0,-0.0,32.99,-2.35,-41.14,30.64,-10.5
57,0.0,0.0,-0.0,-0.0,-0.0,0.0,-14.71,-17.07,0.0,-0.0,25.38,-2.26,-31.78,23.12,-8.66
58,0.0,-0.0,0.0,0.0,0.0,0.0,-17.4,-17.63,-0.0,-0.0,35.14,-2.56,-35.03,32.58,-2.44
59,-0.0,0.0,-0.0,-0.0,0.0,0.0,-12.72,-14.7,-0.0,0.0,26.26,-2.35,-27.43,23.91,-3.51
60,-0.0,0.0,-0.0,-0.0,0.0,0.0,-12.68,-27.7,0.0,-0.0,37.69,-2.25,-40.39,35.44,-4.95
61,0.0,-0.0,0.0,-0.0,0.0,0.0,-11.28,-35.59,0.0,0.0,37.05,-2.32,-46.87,34.73,-12.15
62,-0.0,0.0,-0.0,-0.0,0.0,0.0,-17.97,-39.59,0.0,-0.0,48.76,-2.55,-57.56,46.2,-11.35
63,0.0,0.0,-0.0,0.0,0.0,0.0,-11.78,-27.17,-0.0,0.0,33.35,-2.31,-38.95,31.04,-7.91
64,0.0,-0.0,0.0,0.0,-0.0,0.0,-17.41,-29.3,0.0,-0.0,40.32,-2.55,-46.71,37.77,-8.94
65,0.0,-0.0,0.0,-0.0,-0.0,0.0,-12.52,-44.29,-0.0,-0.0,50.93,-2.25,-56.82,48.68,-8.13
66,0.0,0.0,0.0,-0.0,0.0,0.0,-15.77,-29.95,-0.0,0.0,42.39,-2.33,-45.72,40.06,-5.66
67,-0.0,-0.0,-0.0,0.0,0.0,0.0,-14.36,-27.61,0.0,0.0,37.94,-2.3,-41.97,35.64,-6.34
68,0.0,-0.0,-0.0,-0.0,0.0,0.0,-12.28,-33.06,-0.0,0.0,41.61,-2.26,-45.34,39.35,-5.99
69,0.0,0.0,-0.0,-0.0,-0.0,0.0,-15.99,-27.6,-0.0,-0.0,37.45,-2.24,-43.6,35.22,-8.38
70,0.0,0.0,0.0,-0.0,0.0,0.0,-12.56,-27.22,-0.0,0.0,37.75,-2.15,-39.77,35.6,-4.18
71,0.0,-0.0,-0.0,0.0,0.0,0.0,-14.75,-27.05,0.0,0.0,37.97,-2.41,-41.8,35.56,-6.24
72,-0.0,0.0,-0.0,0.0,0.0,0.0,-12.75,-28.2,0.0,-0.0,37.47,-2.3,-40.95,35.16,-5.78
73,-0.0,-0.0,-0.0,0.0,0.0,0.0,-15.54,-16.81,-0.0,-0.0,27.24,-2.48,-32.35,24.76,-7.59
74,0.0,0.0,-0.0,-0.0,-0.0,0.0,-13.18,-30.68,0.0,-0.0,36.7,-2.4,-43.86,34.3,-9.55
75,0.0,-0.0,0.0,-0.0,0.0,0.0,-16.96,-18.21,-0.0,0.0,32.39,-2.72,-35.16,29.67,-5.49
76,-0.0,0.0,0.0,0.0,-0.0,0.0,-16.32,-17.14,0.0,-0.0,28.18,-2.71,-33.46,25.46,-8.0
77,-0.0,0.0,0.0,-0.0,-0.0,0.0,-16.93,-13.14,0.0,0.0,25.18,-2.38,-30.07,22.8,-7.27
78,-0.0,0.0,0.0,-0.0,-0.0,0.0,-12.03,-24.29,-0.0,-0.0,29.19,-2.56,-36.32,26.63,-9.69
79,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-15.98,-6.95,-0.0,0.0,23.02,-2.5,-22.93,20.52,-2.41
80,-0.0,0.0,0.0,-0.0,-0.0,0.0,-16.81,-12.69,0.0,-0.0,25.81,-2.44,-29.5,23.37,-6.12
81,-0.0,0.0,0.0,-0.0,-0.0,0.0,-11.05,-23.37,0.0,-0.0,29.68,-2.32,-34.42,27.36,-7.06
82,-0.0,0.0,-0.0,-0.0,0.0,0.0,-16.44,-24.26,0.0,0.0,32.66,-2.35,-40.7,30.32,-10.39
83,-0.0,0.0,-0.0,-0.0,0.0,0.0,-13.46,-29.23,0.0,-0.0,34.17,-2.26,-42.69,31.91,-10.77
84,0.0,0.0,-0.0,0.0,0.0,0.0,-15.67,-15.97,0.0,0.0,28.9,-2.38,-31.64,26.53,-5.11
85,0.0,0.0,0.0,-0.0,-0.0,0.0,-15.59,-18.46,0.0,-0.0,29.5,-2.59,-34.05,26.91,-7.14
86,-0.0,-0.0,-0.0,0.0,0.0,0.0,-18.22,-16.5,0.0,0.0,29.77,-2.66,-34.72,27.11,-7.6
87,0.0,-0.0,-0.0,-0.0,0.0,0.0,-16.26,-4.76,0.0,-0.0,19.79,-2.41,-21.03,17.37,-3.65
88,-0.0,0.0,-0.0,0.0,-0.0,0.0,-12.29,-17.8,0.0,-0.0,25.38,-2.35,-30.09,23.04,-7.05
89,0.0,-0.0,-0.0,0.0,0.0,0.0,-17.35,-10.86,0.0,0.0,24.92,-2.48,-28.21,22.45,-5.77
90,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-17.9,-14.38,-0.0,-0.0,28.6,-2.59,-32.28,26.01,-6.27
91,0.0,0.0,-0.0,0.0,0.0,0.0,-14.95,-1.03,-0.0,-0.0,17.39,-2.55,-15.98,14.84,-1.14
92,-0.0,0.0,-0.0,-0.0,0.0,0.0,-15.7,-6.16,0.0,0.0,18.76,-2.59,-21.86,16.17,-5.69
93,0.0,0.0,0.0,-0.0,-0.0,0.0,-15.07,-7.69,-0.0,-0.0,19.25,-2.48,-22.76,16.77,-5.99
94,-0.0,0.0,0.0,-0.0,-0.0,0.0,-16.32,-19.41,0.0,0.0,29.21,-2.47,-35.73,26.74,-8.99
95,-0.0,0.0,0.0,0.0,-0.0,0.0,-15.3,-6.39,0.0,0.0,20.72,-2.47,-21.69,18.25,-3.44
96,0.0,-0.0,0.0,-0.0,0.0,0.0,-16.28,-7.1,0.0,-0.0,20.55,-2.57,-23.38,17.98,-5.4
97,0.0,0.0,0.0,-0.0,-0.0,0.0,-15.94,-11.13,0.0,0.0,23.47,-2.34,-27.07,21.13,-5.94
98,0.0,-0.0,-0.0,-0.0,0.0,0.0,-17.62,-14.21,0.0,0.0,25.26,-2.76,-31.83,22.49,-9.33
99,-0.0,0.0,0.0,0.0,-0.0,0.0,-16.86,-10.48,0.0,-0.0,24.38,-2.45,-27.33,21.94,-5.4
100,0.0,0.0,-0.0,0.0,-0.0,0.0,-13.4,-15.7,0.0,0.0,26.55,-2.53,-29.1,24.01,-5.09


